B01001_001E,B01001_002E,B01001_026E,B01002_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B19301_001E,B17001_002E,B23025_003E,B23025_005E,B25077_001E,B25002_002E,B25014_001E,B25003_002E,B25003_003E,B18101_001E,B18101_002E,B18101_003E,B18101_004E,state
6168181,3040690,3127491,38.9,4217432,824697,380529,82828,57176,68920,38497,756528,3102218,127719,215600,2484834,2484834,1688072,796762,6062789,2971899,184154,1153,29
1105072,560035,545037,40.2,770335,175932,60840,16522,12772,69922,39842,129998,560181,21045,338100,452683,452683,314266,138417,1088176,549275,30383,231,30
1965926,987506,978420,37.1,1290256,286381,109152,26183,18518,74985,40637,197300,1050295,31428,223800,786885,786885,523603,263282,1937542,968848,64913,282,31
3141000,1582476,1558524,38.9,2196081,390041,149136,38368,23848,75561,39963,390414,1582026,107736,406100,1183393,1183393,701914,481479,3103042,1552361,90263,753,32
1387834,692568,695266,43.2,1009222,243501,120245,20737,17355,95628,50867,96457,771014,25914,367200,551186,551186,399663,151523,1371503,683008,32082,174,33
9267014,4558671,4708343,40.1,6459220,1666634,808480,182536,114036,101050,53118,889287,4949651,304881,427600,3478355,3478355,2215482,1262873,9174408,4496887,269528,1625,34
2114768,1050368,1064400,39.2,1450999,240734,138889,28774,29831,62125,34823,375381,970453,58121,232200,825021,825021,572064,252957,2077871,1021476,58047,516,35
19872319,9702417,10169902,39.6,13996138,3083769,1767944,438449,245341,84578,49520,2656674,10200538,632127,403000,7668956,7668956,4164793,3504163,19674246,9576736,563286,3269,36
10584340,5177887,5406453,39.1,7261810,1582709,681421,144873,112350,69904,39616,1355827,5243966,253256,259400,4186924,4186924,2778672,1408252,10366704,5007952,305907,2908,37
779361,399126,380235,35.7,509149,115348,35299,7107,6624,75949,42474,79628,416422,11847,241100,325079,325079,206123,118956,761569,387638,26055,241,38
11780046,5809077,5970969,39.6,8123344,1545678,714000,150960,103491,69680,39455,1519610,5984743,290011,199200,4829571,4829571,3235568,1594003,11612784,5704832,345363,3050,39
3995260,1988686,2006574,36.9,2641325,478236,181189,43076,31292,63603,34859,593820,1901599,93199,185900,1542780,1542780,1015207,527573,3906785,1923410,126474,1612,40
4238714,2113849,2124865,40.1,3021010,674901,289547,72598,57266,80426,44063,494736,2167746,116411,454200,1701548,1701548,1078343,623205,4196946,2083321,109030,719,41
12986518,6400912,6585606,40.9,9153146,1883145,912477,201720,159976,76081,43104,1480981,6665571,349819,240500,5235339,5235339,3629624,1605715,12800535,6283050,351389,2210,42
1095371,537173,558198,40.5,776505,172759,82416,19212,15280,86372,45919,114890,589549,33634,368800,436902,436902,276344,160558,1078696,527396,27201,110,44
5212774,2537456,2675318,40.1,3610374,701835,321227,65889,47257,66818,37993,719720,2513298,124521,236700,2070390,2070390,1478858,591532,5113158,2463790,147715,1527,45
899194,455597,443597,37.7,596137,128272,39055,10558,7526,72421,38880,104511,471613,14163,236800,358552,358552,246105,112447,879723,443111,29247,162,46
6986082,3428050,3558032,38.9,4805533,913559,386013,90905,70024,67097,37866,940092,3465315,164163,256800,2768743,2768743,1855793,912950,6888125,3358548,209462,1956,47
29640343,14789987,14850356,35.5,19294631,4078930,1692013,354163,256865,76292,39446,4005417,14906660,765912,260400,10747240,10747240,6723729,4023511,29157945,14420632,984702,7345,48
3331187,1686562,1644625,31.7,2003084,486239,184689,37789,30838,91750,39240,280516,1732689,59150,455000,1094896,1094896,773345,321551,3304468,1666832,122090,957,49
645254,320321,324933,43.0,462996,114217,60466,12578,10108,78024,44365,63902,350073,12815,290500,269466,269466,196162,73304,639109,316788,14319,272,50
8657499,4278490,4379009,38.8,5958915,1390116,798448,160592,122474,90974,49217,834866,4450159,191415,360700,3326260,3326260,2234492,1091768,8429141,4104498,253075,1817,51
7740984,3898212,3842772,38.2,5409147,1279696,594492,126496,96470,94952,51493,753455,3979692,198360,519800,3020558,3020558,1929694,1090864,7623297,3810646,224006,1351,53
1784462,890156,894306,42.7,1269202,175886,86870,18421,14364,57917,32949,287660,785615,45018,155600,721448,721448,536082,185366,1750730,866528,45830,246,54
5892023,2950540,2941483,40.1,4069583,879907,328124,69811,55286,75670,42019,609003,3121577,102659,247400,2446028,2446028,1660505,785523,5828067,2908926,164363,907,55
579761,296646,283115,38.8,395504,74355,32292,6542,5147,74815,41006,60704,297053,11118,285100,238176,238176,171299,66877,569723,289566,16365,175,56
3254885,1540987,1713898,44.2,2412064,499924,139661,30580,32488,25096,16794,1340637,1266487,153090,124600,1239243,1239243,844228,395015,3227627,1521909,54476,469,72
